DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing,Population,0-17,18-34,35-49,50-64,65-79,80+,Couple without children,Couple with children,One parent family,Other family,Median weekly household income,Median weekly rent,Medain monthly mortgage repayments,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Aboriginal/TSI,Overseas,Recent Migrant,LOTE spoken at home,Fully engaged,Partially engaged,At least partially engaged,Not engaged,Engagement status undertermined,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Year 12 equivalent,Cert III or higher,Preferred
Farrer,118,NSW,LP,67908,69.83,29341,30.17,97249,-0.7,168506,0.233,0.198,0.175,0.196,0.145,0.053,0.434,0.4,0.154,0.013,1149,200,1300,0.366,0.3,0.29,0.01,0.034,0.042,0.099,0.036,0.072,0.493,0.191,0.039,0.19,0.086,0.17,0.148,0.137,0.103,0.116,0.092,0.075,0.142,0.009,0.008,0.556,0.376,Liberal
Fenner,102,ACT,ALP,34171,39.44,52462,60.56,86633,1.28,142439,0.255,0.282,0.234,0.137,0.075,0.017,0.339,0.51,0.136,0.015,2066,380,2037,0.213,0.455,0.308,0.005,0.019,0.018,0.291,0.128,0.272,0.636,0.147,0.036,0.132,0.05,0.144,0.275,0.11,0.113,0.178,0.074,0.025,0.055,0.02,0.005,0.813,0.569,Labor
Fisher,161,QLD,LNP,62100,62.7,36948,37.3,99048,3.55,154117,0.22,0.187,0.19,0.193,0.155,0.054,0.448,0.385,0.156,0.011,1251,375,1820,0.346,0.318,0.295,0.018,0.023,0.019,0.193,0.06,0.048,0.485,0.218,0.035,0.203,0.059,0.116,0.181,0.164,0.122,0.128,0.114,0.054,0.106,0.008,0.007,0.729,0.462,Liberal
Flinders,211,VIC,LP,53943,55.64,43009,44.36,96952,-1.37,145119,0.204,0.172,0.182,0.197,0.181,0.065,0.438,0.392,0.16,0.01,1219,305,1730,0.388,0.343,0.221,0.016,0.032,0.009,0.171,0.03,0.052,0.48,0.224,0.038,0.199,0.058,0.133,0.175,0.186,0.122,0.119,0.108,0.044,0.097,0.009,0.007,0.664,0.457,Liberal
Flynn,311,QLD,LNP,52472,58.66,36985,41.34,89457,7.62,158366,0.262,0.21,0.201,0.196,0.108,0.024,0.412,0.436,0.139,0.012,1384,225,1733,0.293,0.332,0.338,0.008,0.029,0.053,0.113,0.048,0.048,0.473,0.165,0.039,0.227,0.096,0.136,0.118,0.179,0.089,0.107,0.08,0.136,0.138,0.009,0.008,0.614,0.378,Liberal
Forde,162,QLD,LNP,53635,58.6,37899,41.4,91534,7.97,175932,0.268,0.242,0.204,0.161,0.1,0.025,0.333,0.464,0.188,0.015,1463,360,1777,0.228,0.395,0.345,0.007,0.026,0.028,0.259,0.09,0.109,0.521,0.176,0.034,0.207,0.062,0.102,0.135,0.168,0.109,0.148,0.104,0.094,0.122,0.01,0.007,0.7,0.419,Liberal
Forrest,239,WA,LP,58405,64.56,32057,35.44,90462,2,152460,0.247,0.189,0.204,0.195,0.128,0.037,0.421,0.423,0.147,0.009,1361,310,1757,0.311,0.385,0.27,0.011,0.023,0.022,0.194,0.067,0.066,0.454,0.221,0.045,0.204,0.077,0.119,0.15,0.185,0.104,0.111,0.098,0.086,0.133,0.009,0.006,0.579,0.432,Liberal
Fowler,119,NSW,ALP,30124,36.01,53540,63.99,83664,3.5,173263,0.231,0.258,0.192,0.185,0.1,0.034,0.24,0.505,0.231,0.024,1212,334,1733,0.297,0.279,0.382,0.007,0.035,0.008,0.53,0.15,0.686,0.46,0.142,0.029,0.301,0.067,0.08,0.149,0.146,0.103,0.138,0.094,0.117,0.145,0.015,0.014,0.772,0.309,Labor
Franklin,195,TAS,ALP,26555,37.79,43706,62.21,70261,-1.48,102079,0.225,0.186,0.19,0.204,0.148,0.047,0.422,0.401,0.166,0.011,1251,270,1439,0.373,0.377,0.217,0.009,0.023,0.046,0.127,0.026,0.046,0.479,0.222,0.037,0.205,0.057,0.124,0.215,0.14,0.122,0.154,0.094,0.041,0.094,0.012,0.005,0.647,0.465,Labor
Fraser,321,VIC,ALP,33156,35.82,59403,64.18,92559,5.61,178821,0.213,0.28,0.193,0.177,0.104,0.033,0.287,0.484,0.204,0.026,1231,300,1517,0.357,0.322,0.275,0.007,0.039,0.004,0.485,0.164,0.595,0.492,0.163,0.032,0.248,0.064,0.084,0.146,0.138,0.106,0.134,0.102,0.114,0.15,0.012,0.013,0.794,0.361,Labor
Fremantle,240,WA,ALP,39251,43.08,51852,56.92,91103,0.6,156992,0.221,0.246,0.223,0.176,0.1,0.034,0.372,0.462,0.15,0.016,1713,380,2100,0.278,0.421,0.27,0.007,0.024,0.015,0.325,0.127,0.191,0.54,0.187,0.035,0.171,0.067,0.118,0.245,0.159,0.103,0.134,0.085,0.056,0.082,0.011,0.006,0.752,0.501,Labor
Gellibrand,212,VIC,ALP,34653,35.17,63878,64.83,98531,0.29,180010,0.233,0.257,0.243,0.156,0.08,0.031,0.333,0.504,0.143,0.02,1725,350,2000,0.272,0.371,0.326,0.006,0.025,0.005,0.347,0.143,0.329,0.572,0.167,0.031,0.174,0.056,0.148,0.269,0.113,0.093,0.142,0.087,0.058,0.071,0.011,0.007,0.799,0.521,Labor
Gilmore,120,NSW,ALP,51025,47.39,56652,52.61,107677,-3.34,155491,0.198,0.162,0.16,0.218,0.198,0.064,0.494,0.336,0.16,0.011,1038,280,1517,0.445,0.269,0.243,0.013,0.03,0.05,0.131,0.017,0.04,0.408,0.215,0.037,0.261,0.079,0.121,0.182,0.166,0.135,0.117,0.105,0.054,0.104,0.009,0.008,0.562,0.438,Labor
Gippsland,213,VIC,NP,64456,66.67,32222,33.33,96678,-1.54,147888,0.214,0.193,0.17,0.211,0.164,0.05,0.456,0.371,0.161,0.012,1058,210,1300,0.396,0.325,0.239,0.007,0.033,0.02,0.113,0.023,0.049,0.426,0.201,0.042,0.24,0.091,0.135,0.155,0.162,0.118,0.119,0.097,0.071,0.125,0.009,0.008,0.549,0.402,Liberal
Goldstein,214,VIC,LP,57408,57.79,41928,42.21,99336,-4.89,158481,0.226,0.192,0.211,0.195,0.12,0.055,0.344,0.52,0.123,0.013,2018,421,2400,0.384,0.324,0.26,0.009,0.023,0.002,0.294,0.102,0.199,0.576,0.193,0.028,0.153,0.05,0.206,0.34,0.075,0.088,0.129,0.095,0.016,0.036,0.01,0.005,0.89,0.582,Liberal
Gorton,309,VIC,ALP,32780,34.64,61861,65.36,94641,3.13,183866,0.282,0.255,0.231,0.144,0.074,0.015,0.264,0.544,0.179,0.014,1496,305,1700,0.234,0.507,0.223,0.006,0.03,0.009,0.336,0.119,0.372,0.511,0.167,0.035,0.216,0.07,0.098,0.146,0.146,0.11,0.155,0.103,0.112,0.109,0.012,0.009,0.692,0.417,Labor
Grayndler,121,NSW,ALP,25075,26.17,70739,73.83,95814,-1.47,159721,0.177,0.293,0.248,0.163,0.089,0.03,0.416,0.425,0.135,0.024,2093,485,2600,0.245,0.288,0.437,0.005,0.025,0.011,0.331,0.113,0.261,0.624,0.145,0.029,0.122,0.08,0.17,0.383,0.083,0.083,0.127,0.071,0.023,0.045,0.01,0.006,0.844,0.596,Labor
Greenway,122,NSW,ALP,45082,47.2,50425,52.8,95507,3.51,180875,0.264,0.252,0.235,0.15,0.077,0.021,0.257,0.587,0.141,0.014,1941,410,2200,0.232,0.457,0.281,0.005,0.025,0.015,0.409,0.154,0.41,0.592,0.149,0.031,0.175,0.053,0.116,0.23,0.124,0.092,0.168,0.092,0.079,0.081,0.011,0.008,0.777,0.502,Labor
Grey,183,SA,LP,65504,63.32,37943,36.68,103447,5.57,173424,0.222,0.186,0.176,0.216,0.154,0.047,0.465,0.368,0.154,0.012,1032,180,1160,0.366,0.303,0.291,0.01,0.029,0.064,0.099,0.019,0.048,0.428,0.199,0.041,0.247,0.084,0.167,0.129,0.148,0.113,0.103,0.085,0.097,0.138,0.01,0.008,0.535,0.342,Liberal
Griffith,163,QLD,ALP,46958,47.14,52659,52.86,99617,-1.43,162832,0.188,0.339,0.224,0.149,0.072,0.027,0.422,0.419,0.131,0.029,1902,400,2167,0.208,0.297,0.464,0.006,0.025,0.012,0.274,0.135,0.183,0.629,0.151,0.027,0.123,0.07,0.146,0.341,0.096,0.093,0.141,0.081,0.026,0.062,0.01,0.005,0.855,0.586,Labor
Groom,164,QLD,LNP,67274,70.48,28174,29.52,95448,5.17,153895,0.249,0.225,0.182,0.175,0.122,0.046,0.412,0.412,0.161,0.014,1298,282,1535,0.313,0.329,0.321,0.011,0.026,0.04,0.119,0.054,0.068,0.531,0.182,0.033,0.19,0.064,0.117,0.193,0.152,0.113,0.136,0.092,0.066,0.118,0.007,0.006,0.729,0.436,Liberal
Hasluck,305,WA,LP,46637,55.39,37563,44.61,84200,3.34,148225,0.231,0.227,0.205,0.185,0.118,0.034,0.379,0.45,0.155,0.016,1527,350,1950,0.311,0.455,0.203,0.009,0.022,0.028,0.308,0.113,0.157,0.505,0.183,0.037,0.195,0.08,0.104,0.171,0.176,0.109,0.143,0.089,0.091,0.1,0.011,0.006,0.644,0.441,Liberal
Herbert,165,QLD,LNP,53641,58.36,38276,41.64,91917,8.38,165377,0.246,0.277,0.195,0.165,0.092,0.024,0.379,0.411,0.192,0.018,1392,295,1733,0.214,0.341,0.41,0.009,0.026,0.085,0.136,0.055,0.072,0.536,0.157,0.033,0.194,0.081,0.093,0.185,0.153,0.15,0.134,0.097,0.076,0.097,0.009,0.006,0.712,0.438,Liberal
Higgins,215,VIC,LP,54139,53.88,46339,46.12,100478,-6.09,172005,0.174,0.325,0.201,0.157,0.102,0.041,0.427,0.436,0.11,0.027,1903,395,2186,0.294,0.256,0.42,0.007,0.023,0.002,0.327,0.152,0.265,0.629,0.153,0.025,0.13,0.063,0.182,0.385,0.068,0.081,0.127,0.091,0.014,0.036,0.011,0.006,0.886,0.617,Liberal
Hindmarsh,185,SA,ALP,47349,43.46,61606,56.54,108955,1.89,165766,0.189,0.227,0.194,0.197,0.132,0.06,0.395,0.411,0.174,0.021,1213,280,1644,0.334,0.319,0.307,0.015,0.024,0.017,0.253,0.084,0.229,0.522,0.197,0.034,0.201,0.046,0.117,0.202,0.135,0.121,0.155,0.1,0.06,0.094,0.01,0.006,0.767,0.438,Labor
Hinkler,166,QLD,LNP,59384,64.5,32683,35.5,92067,6.12,146631,0.213,0.167,0.165,0.203,0.195,0.058,0.491,0.32,0.177,0.013,947,275,1400,0.384,0.265,0.305,0.015,0.031,0.041,0.141,0.032,0.043,0.398,0.192,0.033,0.303,0.074,0.104,0.165,0.143,0.134,0.117,0.113,0.072,0.137,0.007,0.008,0.628,0.373,Liberal
Holt,216,VIC,ALP,39110,41.3,55577,58.7,94687,1.24,184226,0.286,0.266,0.222,0.143,0.067,0.017,0.263,0.57,0.154,0.013,1573,341,1733,0.193,0.568,0.206,0.007,0.027,0.006,0.379,0.169,0.354,0.542,0.174,0.034,0.194,0.056,0.095,0.133,0.167,0.114,0.143,0.1,0.108,0.122,0.01,0.008,0.698,0.438,Labor
Hotham,217,VIC,ALP,42271,44.09,53597,55.91,95868,-1.7,188320,0.192,0.302,0.194,0.152,0.11,0.05,0.336,0.495,0.145,0.024,1442,371,2000,0.365,0.301,0.296,0.01,0.027,0.002,0.493,0.211,0.518,0.592,0.161,0.027,0.173,0.047,0.123,0.259,0.119,0.094,0.141,0.102,0.053,0.09,0.01,0.008,0.879,0.484,Labor
Hughes,124,NSW,LP,57149,59.85,38342,40.15,95491,0.52,149514,0.247,0.215,0.214,0.183,0.107,0.035,0.309,0.554,0.126,0.011,2088,445,2383,0.354,0.446,0.176,0.006,0.019,0.012,0.201,0.044,0.164,0.611,0.187,0.033,0.136,0.033,0.139,0.238,0.138,0.105,0.173,0.091,0.044,0.056,0.01,0.006,0.8,0.535,Liberal
Hume,125,NSW,LP,64527,62.99,37915,37.01,102442,2.81,158069,0.252,0.213,0.198,0.184,0.118,0.034,0.362,0.482,0.146,0.01,1628,325,2000,0.329,0.437,0.198,0.011,0.025,0.031,0.123,0.021,0.063,0.552,0.184,0.038,0.167,0.059,0.134,0.158,0.162,0.112,0.144,0.091,0.085,0.096,0.011,0.007,0.608,0.451,Liberal
Hunter,126,NSW,ALP,47976,47.02,54050,52.98,102026,9.48,161803,0.238,0.212,0.186,0.187,0.132,0.046,0.389,0.417,0.182,0.012,1294,290,1733,0.335,0.359,0.266,0.013,0.027,0.059,0.09,0.02,0.035,0.467,0.19,0.036,0.239,0.068,0.097,0.144,0.177,0.113,0.123,0.095,0.118,0.117,0.009,0.008,0.522,0.416,Labor
Indi,218,VIC,LP,63332,62.73,37624,37.27,100956,7.72,148105,0.219,0.178,0.179,0.215,0.158,0.051,0.46,0.377,0.152,0.011,1116,220,1300,0.384,0.328,0.246,0.009,0.032,0.016,0.097,0.02,0.045,0.476,0.211,0.043,0.194,0.076,0.154,0.162,0.156,0.119,0.111,0.091,0.069,0.121,0.009,0.008,0.596,0.437,Liberal
Isaacs,219,VIC,ALP,42192,43.57,54645,56.43,96837,-3.45,160723,0.221,0.22,0.226,0.176,0.11,0.047,0.339,0.497,0.148,0.015,1578,351,2000,0.329,0.391,0.246,0.008,0.026,0.004,0.308,0.1,0.261,0.571,0.184,0.032,0.165,0.048,0.145,0.241,0.133,0.095,0.151,0.104,0.045,0.069,0.009,0.007,0.807,0.494,Labor
Jagajaga,220,VIC,ALP,42463,43.43,55304,56.57,97767,-0.97,153923,0.221,0.224,0.21,0.183,0.119,0.043,0.339,0.5,0.144,0.017,1724,350,1993,0.374,0.372,0.224,0.006,0.023,0.006,0.223,0.069,0.2,0.568,0.199,0.032,0.158,0.043,0.137,0.29,0.127,0.102,0.15,0.091,0.031,0.058,0.009,0.006,0.834,0.543,Labor
Kennedy,167,QLD,LNP,59319,64.51,32629,35.49,91948,7.77,168690,0.251,0.202,0.185,0.197,0.128,0.035,0.42,0.391,0.174,0.015,1197,225,1517,0.341,0.287,0.329,0.009,0.035,0.137,0.121,0.036,0.073,0.461,0.166,0.04,0.225,0.107,0.138,0.131,0.159,0.111,0.113,0.083,0.1,0.146,0.009,0.009,0.599,0.362,Liberal
Kingsford Smith,127,NSW,ALP,38875,41.19,55501,58.81,94376,-0.24,190884,0.175,0.342,0.207,0.147,0.092,0.036,0.368,0.453,0.148,0.031,1794,530,2520,0.254,0.242,0.466,0.007,0.032,0.017,0.425,0.189,0.364,0.631,0.133,0.027,0.123,0.085,0.145,0.311,0.101,0.101,0.142,0.086,0.039,0.059,0.01,0.007,0.844,0.522,Labor
Kingston,186,SA,ALP,40373,38.06,65708,61.94,106081,1.61,162107,0.224,0.223,0.195,0.193,0.126,0.038,0.38,0.427,0.18,0.013,1229,290,1456,0.289,0.439,0.234,0.017,0.021,0.015,0.226,0.062,0.08,0.497,0.217,0.036,0.207,0.044,0.094,0.161,0.167,0.138,0.152,0.111,0.058,0.104,0.009,0.005,0.691,0.446,Labor
Kooyong,221,VIC,LP,56127,56.68,42902,43.32,99029,-6.14,166419,0.207,0.262,0.191,0.18,0.111,0.049,0.349,0.507,0.121,0.023,2036,401,2479,0.376,0.284,0.311,0.008,0.022,0.002,0.318,0.127,0.282,0.614,0.17,0.025,0.144,0.048,0.184,0.393,0.059,0.083,0.127,0.092,0.012,0.034,0.011,0.006,0.913,0.611,Liberal
La Trobe,223,VIC,LP,53776,54.49,44913,45.51,98689,1.27,162012,0.272,0.241,0.218,0.158,0.086,0.025,0.302,0.535,0.151,0.011,1609,335,1750,0.246,0.495,0.224,0.012,0.023,0.006,0.257,0.093,0.187,0.56,0.192,0.033,0.168,0.047,0.12,0.171,0.167,0.104,0.151,0.108,0.07,0.094,0.008,0.007,0.705,0.479,Liberal
Lalor,222,VIC,ALP,35137,37.59,58341,62.41,93478,1.78,193726,0.281,0.281,0.221,0.136,0.065,0.016,0.276,0.551,0.16,0.013,1530,310,1692,0.211,0.476,0.282,0.006,0.025,0.009,0.405,0.219,0.403,0.532,0.162,0.033,0.208,0.064,0.095,0.167,0.132,0.117,0.153,0.098,0.118,0.102,0.01,0.008,0.706,0.473,Labor
Leichhardt,168,QLD,LNP,48638,54.17,41147,45.83,89785,0.22,175479,0.245,0.227,0.213,0.192,0.101,0.023,0.383,0.395,0.202,0.019,1302,275,1680,0.229,0.296,0.432,0.008,0.035,0.168,0.207,0.076,0.186,0.474,0.175,0.035,0.21,0.105,0.114,0.196,0.146,0.142,0.126,0.1,0.056,0.102,0.01,0.008,0.659,0.44,Liberal
Lilley,169,QLD,ALP,47688,49.36,48917,50.64,96605,5.04,158758,0.211,0.264,0.213,0.164,0.102,0.046,0.386,0.429,0.16,0.025,1588,360,1950,0.271,0.329,0.364,0.01,0.026,0.022,0.234,0.103,0.149,0.585,0.171,0.034,0.158,0.052,0.118,0.251,0.125,0.106,0.163,0.089,0.05,0.083,0.009,0.006,0.813,0.511,Labor
Lindsay,128,NSW,LP,53614,55.04,43789,44.96,97403,6.15,174495,0.252,0.264,0.204,0.161,0.095,0.024,0.308,0.478,0.199,0.016,1612,365,2000,0.254,0.393,0.322,0.005,0.027,0.042,0.211,0.055,0.159,0.559,0.155,0.034,0.183,0.069,0.102,0.152,0.146,0.107,0.175,0.095,0.107,0.097,0.012,0.008,0.627,0.413,Liberal
Lingiari,306,NT,ALP,21571,44.54,26863,55.46,48434,2.73,132479,0.27,0.284,0.215,0.166,0.057,0.008,0.327,0.466,0.184,0.022,1757,113,2167,0.152,0.263,0.525,0.014,0.047,0.402,0.124,0.056,0.357,0.422,0.096,0.041,0.266,0.175,0.119,0.188,0.158,0.153,0.128,0.059,0.062,0.103,0.017,0.013,0.377,0.329,Labor
Longman,302,QLD,LNP,53037,53.28,46512,46.72,99549,4.07,169165,0.246,0.219,0.186,0.18,0.135,0.034,0.395,0.411,0.182,0.012,1256,320,1733,0.283,0.357,0.328,0.008,0.025,0.037,0.169,0.049,0.053,0.468,0.184,0.035,0.243,0.071,0.096,0.122,0.167,0.121,0.141,0.11,0.088,0.137,0.011,0.007,0.651,0.4,Liberal
Lyne,130,NSW,NP,65942,65.17,35238,34.83,101180,3.54,149409,0.205,0.144,0.158,0.222,0.206,0.066,0.496,0.33,0.162,0.011,967,260,1517,0.454,0.276,0.227,0.013,0.031,0.055,0.087,0.011,0.023,0.399,0.213,0.038,0.282,0.068,0.125,0.165,0.155,0.119,0.118,0.106,0.072,0.122,0.008,0.009,0.537,0.402,Liberal
Lyons,196,TAS,ALP,32073,44.82,39491,55.18,71564,-1.35,104176,0.22,0.177,0.179,0.224,0.16,0.039,0.446,0.378,0.166,0.01,1014,210,1248,0.378,0.359,0.229,0.007,0.027,0.048,0.084,0.011,0.021,0.418,0.21,0.044,0.258,0.071,0.137,0.118,0.156,0.126,0.123,0.098,0.085,0.139,0.011,0.008,0.482,0.359,Labor
Macarthur,131,NSW,ALP,41394,41.6,58110,58.4,99504,-0.07,173553,0.265,0.261,0.197,0.167,0.09,0.019,0.285,0.499,0.201,0.015,1573,360,1950,0.239,0.42,0.306,0.01,0.025,0.036,0.278,0.074,0.264,0.541,0.154,0.034,0.215,0.056,0.096,0.152,0.143,0.109,0.162,0.1,0.112,0.105,0.012,0.008,0.665,0.412,Labor
Mackellar,132,NSW,LP,62124,63.22,36138,36.78,98262,-2.52,156838,0.231,0.185,0.214,0.188,0.131,0.052,0.355,0.516,0.119,0.01,2056,550,2700,0.367,0.369,0.215,0.022,0.027,0.006,0.266,0.075,0.143,0.587,0.207,0.031,0.129,0.046,0.176,0.258,0.128,0.098,0.141,0.095,0.031,0.057,0.01,0.006,0.819,0.544,Liberal
Macnamara,322,VIC,ALP,42479,43.75,54613,56.25,97092,-5.04,185183,0.138,0.368,0.221,0.152,0.09,0.031,0.535,0.328,0.105,0.032,1864,420,2167,0.214,0.229,0.525,0.006,0.026,0.003,0.355,0.177,0.249,0.618,0.134,0.026,0.121,0.1,0.189,0.385,0.074,0.086,0.122,0.08,0.013,0.034,0.012,0.006,0.825,0.61,Labor
Macquarie,133,NSW,ALP,48290,49.81,48661,50.19,96951,2,145602,0.232,0.197,0.198,0.203,0.134,0.036,0.368,0.462,0.158,0.011,1556,355,1950,0.356,0.404,0.209,0.009,0.022,0.03,0.148,0.02,0.06,0.548,0.197,0.033,0.172,0.051,0.126,0.221,0.156,0.111,0.142,0.081,0.062,0.085,0.01,0.006,0.649,0.514,Labor
