DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing,Population,0-17,18-34,35-49,50-64,65-79,80+,Couple without children,Couple with children,One parent family,Other family,Median weekly household income,Median weekly rent,Medain monthly mortgage repayments,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Aboriginal/TSI,Overseas,Recent Migrant,LOTE spoken at home,Fully engaged,Partially engaged,At least partially engaged,Not engaged,Engagement status undertermined,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Year 12 equivalent,Cert III or higher,Preferred
Makin,187,SA,ALP,42978,40.28,63726,59.72,106704,1.07,170829,0.221,0.234,0.202,0.179,0.125,0.039,0.377,0.442,0.167,0.015,1285,300,1500,0.308,0.427,0.224,0.02,0.02,0.014,0.28,0.09,0.201,0.528,0.198,0.031,0.197,0.046,0.098,0.169,0.153,0.127,0.157,0.103,0.069,0.108,0.011,0.005,0.731,0.434,Labor
Mallee,224,VIC,NP,62143,66.23,31684,33.77,93827,-3.57,155839,0.22,0.187,0.167,0.208,0.158,0.06,0.454,0.376,0.156,0.013,974,185,1083,0.411,0.296,0.248,0.01,0.036,0.026,0.088,0.03,0.064,0.453,0.196,0.041,0.226,0.084,0.196,0.143,0.13,0.108,0.103,0.097,0.067,0.139,0.008,0.009,0.568,0.347,Liberal
Maranoa,170,QLD,LNP,69961,75.42,22799,24.58,92760,7.88,151532,0.242,0.186,0.177,0.202,0.149,0.043,0.454,0.383,0.149,0.013,1083,200,1300,0.369,0.271,0.316,0.011,0.033,0.06,0.082,0.026,0.034,0.477,0.174,0.039,0.221,0.089,0.195,0.12,0.138,0.095,0.108,0.08,0.09,0.157,0.007,0.009,0.62,0.347,Liberal
Maribyrnong,225,VIC,ALP,39157,38.8,61767,61.2,100924,-0.8,170360,0.195,0.287,0.216,0.162,0.097,0.043,0.361,0.466,0.145,0.028,1604,346,2000,0.317,0.295,0.353,0.006,0.029,0.004,0.316,0.112,0.339,0.584,0.168,0.031,0.152,0.064,0.144,0.286,0.102,0.1,0.148,0.096,0.041,0.067,0.011,0.007,0.842,0.513,Labor
Mayo,188,SA,LP,59205,52.54,53471,47.46,112676,-0.73,163904,0.221,0.167,0.188,0.211,0.166,0.047,0.447,0.415,0.13,0.008,1248,280,1517,0.369,0.406,0.19,0.015,0.021,0.01,0.169,0.031,0.04,0.478,0.236,0.041,0.191,0.054,0.146,0.211,0.145,0.12,0.122,0.092,0.048,0.102,0.009,0.005,0.708,0.476,Liberal
Mcewen,226,VIC,ALP,43236,44.98,52892,55.02,96128,0.98,153859,0.268,0.221,0.215,0.175,0.098,0.023,0.324,0.517,0.149,0.009,1660,325,1750,0.282,0.505,0.186,0.005,0.022,0.01,0.148,0.043,0.096,0.541,0.198,0.039,0.167,0.056,0.122,0.174,0.174,0.115,0.151,0.097,0.069,0.082,0.01,0.006,0.695,0.483,Labor
Mcmahon,315,NSW,ALP,37029,43.36,48364,56.64,85393,5.47,174690,0.245,0.259,0.197,0.17,0.097,0.03,0.258,0.532,0.19,0.02,1412,390,2000,0.299,0.343,0.322,0.006,0.03,0.012,0.432,0.137,0.529,0.503,0.148,0.031,0.265,0.054,0.094,0.154,0.154,0.096,0.169,0.096,0.106,0.107,0.014,0.01,0.721,0.366,Labor
Mcpherson,171,QLD,LNP,57545,62.2,34976,37.8,92521,0.56,159569,0.219,0.218,0.206,0.182,0.127,0.047,0.386,0.42,0.18,0.014,1395,400,1928,0.295,0.344,0.328,0.006,0.026,0.017,0.247,0.081,0.102,0.525,0.209,0.032,0.17,0.063,0.121,0.204,0.147,0.126,0.133,0.123,0.041,0.088,0.01,0.006,0.782,0.476,Liberal
Melbourne,228,VIC,ALP,30654,32.94,62410,67.06,93064,-0.06,215951,0.099,0.544,0.173,0.107,0.059,0.019,0.553,0.264,0.12,0.063,1488,425,2000,0.156,0.18,0.626,0.007,0.03,0.004,0.456,0.294,0.39,0.665,0.106,0.022,0.104,0.102,0.149,0.409,0.072,0.105,0.11,0.077,0.015,0.047,0.011,0.006,0.851,0.578,Labor
Menzies,229,VIC,LP,56568,57.53,41758,42.47,98326,-0.28,158381,0.211,0.205,0.197,0.196,0.137,0.053,0.344,0.521,0.122,0.013,1760,410,2000,0.441,0.355,0.169,0.01,0.025,0.002,0.348,0.102,0.352,0.563,0.197,0.029,0.175,0.036,0.168,0.285,0.11,0.092,0.144,0.107,0.025,0.054,0.009,0.007,0.882,0.531,Liberal
Mitchell,134,NSW,LP,67698,68.63,30938,31.37,98636,0.81,163922,0.258,0.206,0.231,0.171,0.106,0.029,0.286,0.599,0.106,0.009,2268,550,2500,0.33,0.457,0.185,0.012,0.017,0.005,0.359,0.105,0.333,0.629,0.171,0.027,0.146,0.027,0.167,0.295,0.103,0.08,0.163,0.095,0.032,0.047,0.011,0.006,0.868,0.568,Liberal
Monash,323,VIC,LP,57631,57.36,42850,42.64,100481,-0.15,146190,0.221,0.179,0.172,0.208,0.167,0.052,0.446,0.387,0.157,0.011,1066,230,1374,0.399,0.341,0.222,0.008,0.03,0.011,0.119,0.018,0.042,0.444,0.217,0.044,0.223,0.072,0.154,0.146,0.169,0.111,0.111,0.094,0.07,0.128,0.009,0.009,0.563,0.418,Liberal
Moncrieff,172,QLD,LNP,60079,65.36,31840,34.64,91919,0.75,177222,0.175,0.271,0.196,0.179,0.133,0.045,0.442,0.359,0.18,0.018,1261,370,1800,0.261,0.282,0.412,0.01,0.035,0.015,0.311,0.122,0.169,0.517,0.188,0.028,0.176,0.091,0.125,0.188,0.14,0.127,0.127,0.126,0.045,0.104,0.011,0.007,0.753,0.455,Liberal
Moore,242,WA,LP,54735,61.65,34044,38.35,88779,0.63,145796,0.234,0.209,0.209,0.21,0.11,0.028,0.358,0.511,0.119,0.012,2002,410,2100,0.34,0.466,0.174,0.004,0.016,0.006,0.386,0.136,0.109,0.556,0.21,0.035,0.16,0.039,0.129,0.235,0.158,0.106,0.15,0.099,0.04,0.069,0.01,0.005,0.809,0.529,Liberal
Moreton,173,QLD,ALP,43597,48.1,47045,51.9,90642,2.12,172632,0.208,0.316,0.202,0.15,0.09,0.033,0.358,0.467,0.148,0.027,1602,380,1950,0.293,0.321,0.349,0.007,0.03,0.012,0.397,0.194,0.361,0.58,0.166,0.027,0.176,0.051,0.113,0.292,0.111,0.102,0.134,0.09,0.05,0.091,0.011,0.007,0.865,0.535,Labor
New England,135,NSW,NP,65818,67.63,31502,32.37,97320,1.21,158025,0.236,0.203,0.171,0.195,0.146,0.049,0.432,0.376,0.177,0.015,1089,230,1365,0.371,0.286,0.302,0.009,0.032,0.084,0.077,0.029,0.04,0.487,0.183,0.035,0.209,0.086,0.162,0.167,0.134,0.105,0.112,0.091,0.07,0.142,0.009,0.008,0.603,0.391,Liberal
Newcastle,136,NSW,ALP,37283,36.17,65784,63.83,103067,0.01,159907,0.202,0.279,0.193,0.176,0.106,0.044,0.383,0.416,0.181,0.021,1398,340,1800,0.297,0.317,0.354,0.006,0.026,0.034,0.14,0.056,0.1,0.555,0.185,0.03,0.18,0.05,0.102,0.28,0.128,0.123,0.131,0.092,0.049,0.082,0.009,0.006,0.766,0.503,Labor
Nicholls,324,VIC,NP,66732,70.03,28560,29.97,95292,-2.49,153776,0.228,0.195,0.175,0.201,0.15,0.052,0.425,0.399,0.164,0.012,1112,210,1300,0.368,0.328,0.259,0.009,0.035,0.026,0.111,0.041,0.084,0.471,0.192,0.043,0.211,0.083,0.162,0.144,0.142,0.11,0.107,0.096,0.072,0.15,0.007,0.01,0.58,0.368,Liberal
North Sydney,137,NSW,LP,57398,59.27,39438,40.73,96836,-4.34,173535,0.199,0.261,0.234,0.162,0.104,0.039,0.419,0.454,0.108,0.019,2352,560,2700,0.291,0.272,0.409,0.008,0.02,0.003,0.387,0.153,0.286,0.645,0.139,0.027,0.128,0.06,0.201,0.418,0.057,0.068,0.126,0.074,0.012,0.027,0.012,0.005,0.884,0.649,Liberal
O'connor,243,WA,LP,55421,64.48,30536,35.52,85957,-0.56,158996,0.24,0.198,0.192,0.205,0.128,0.036,0.44,0.406,0.141,0.013,1325,225,1517,0.339,0.314,0.307,0.01,0.029,0.059,0.176,0.061,0.073,0.465,0.182,0.046,0.201,0.106,0.17,0.131,0.166,0.097,0.102,0.078,0.114,0.125,0.009,0.008,0.534,0.37,Liberal
Oxley,174,QLD,ALP,39473,43.61,51050,56.39,90523,2.62,178110,0.269,0.256,0.215,0.158,0.08,0.021,0.295,0.5,0.186,0.019,1557,350,1750,0.225,0.391,0.354,0.007,0.024,0.03,0.346,0.135,0.278,0.522,0.159,0.031,0.198,0.089,0.104,0.199,0.129,0.117,0.146,0.092,0.087,0.108,0.01,0.008,0.726,0.438,Labor
Page,138,NSW,NP,64295,59.45,43856,40.55,108151,7.15,162962,0.219,0.167,0.172,0.225,0.162,0.055,0.443,0.354,0.189,0.014,998,260,1387,0.407,0.293,0.261,0.008,0.031,0.055,0.09,0.019,0.037,0.405,0.217,0.034,0.262,0.081,0.126,0.172,0.135,0.125,0.122,0.099,0.066,0.139,0.008,0.009,0.557,0.407,Liberal
Parkes,139,NSW,NP,62859,66.91,31093,33.09,93952,1.81,157401,0.246,0.208,0.173,0.196,0.132,0.045,0.408,0.378,0.196,0.018,1143,190,1300,0.357,0.277,0.315,0.012,0.039,0.159,0.055,0.022,0.033,0.481,0.162,0.039,0.217,0.102,0.181,0.149,0.131,0.115,0.11,0.084,0.09,0.12,0.009,0.01,0.504,0.35,Liberal
Parramatta,140,NSW,ALP,39368,46.5,45302,53.5,84670,4.17,199947,0.222,0.315,0.215,0.143,0.078,0.028,0.305,0.529,0.142,0.024,1596,410,2000,0.209,0.272,0.482,0.007,0.03,0.007,0.535,0.269,0.596,0.55,0.137,0.027,0.218,0.068,0.105,0.283,0.114,0.09,0.148,0.086,0.065,0.087,0.013,0.01,0.802,0.517,Labor
Paterson,249,NSW,ALP,48471,44.96,59348,55.04,107819,5.7,161705,0.239,0.211,0.184,0.184,0.14,0.042,0.392,0.409,0.185,0.014,1236,300,1680,0.333,0.339,0.291,0.009,0.029,0.055,0.091,0.022,0.036,0.471,0.192,0.035,0.241,0.061,0.093,0.144,0.176,0.121,0.128,0.104,0.098,0.12,0.009,0.007,0.543,0.417,Labor
Pearce,244,WA,LP,57478,57.52,42445,42.48,99923,3.89,194221,0.27,0.254,0.214,0.157,0.085,0.02,0.354,0.481,0.154,0.011,1658,360,2076,0.196,0.551,0.22,0.012,0.021,0.022,0.356,0.168,0.129,0.514,0.181,0.041,0.185,0.08,0.111,0.14,0.187,0.119,0.14,0.096,0.085,0.106,0.01,0.006,0.642,0.438,Liberal
Perth,245,WA,ALP,39530,45.07,48176,54.93,87706,-1.6,158995,0.166,0.312,0.212,0.17,0.101,0.039,0.456,0.392,0.127,0.024,1700,380,2042,0.261,0.326,0.378,0.011,0.024,0.011,0.378,0.162,0.253,0.569,0.161,0.031,0.153,0.085,0.133,0.302,0.126,0.102,0.131,0.078,0.041,0.072,0.01,0.006,0.773,0.536,Labor
Petrie,175,QLD,LNP,59331,58.4,42266,41.6,101597,6.75,173680,0.242,0.219,0.205,0.168,0.121,0.045,0.373,0.428,0.184,0.016,1387,350,1800,0.267,0.331,0.363,0.015,0.024,0.028,0.253,0.105,0.115,0.523,0.179,0.035,0.207,0.055,0.105,0.181,0.144,0.123,0.157,0.102,0.068,0.104,0.01,0.007,0.732,0.451,Liberal
Rankin,176,QLD,ALP,36971,43.56,47893,56.44,84864,4.86,188419,0.275,0.261,0.204,0.156,0.085,0.018,0.301,0.481,0.2,0.018,1431,340,1720,0.221,0.391,0.357,0.006,0.025,0.028,0.365,0.157,0.29,0.513,0.168,0.032,0.227,0.061,0.089,0.164,0.141,0.109,0.149,0.097,0.107,0.125,0.011,0.009,0.73,0.422,Labor
Reid,144,NSW,LP,49844,53.18,43884,46.82,93728,-1.51,196085,0.175,0.342,0.205,0.154,0.087,0.037,0.382,0.465,0.128,0.026,1898,520,2300,0.272,0.281,0.415,0.005,0.027,0.006,0.497,0.222,0.524,0.598,0.142,0.027,0.154,0.079,0.153,0.317,0.096,0.082,0.142,0.093,0.031,0.063,0.013,0.009,0.842,0.541,Liberal
Richmond,145,NSW,ALP,46069,45.92,54251,54.08,100320,-0.12,159902,0.204,0.163,0.184,0.218,0.166,0.065,0.439,0.363,0.185,0.013,1099,350,1733,0.395,0.277,0.283,0.012,0.033,0.033,0.147,0.032,0.047,0.413,0.242,0.036,0.225,0.085,0.123,0.199,0.149,0.132,0.114,0.107,0.049,0.11,0.009,0.008,0.626,0.444,Labor
Riverina,250,NSW,NP,70136,69.48,30805,30.52,100941,3.04,159291,0.239,0.208,0.173,0.189,0.14,0.051,0.424,0.393,0.168,0.015,1147,220,1300,0.368,0.303,0.285,0.01,0.034,0.061,0.07,0.026,0.042,0.504,0.181,0.036,0.198,0.082,0.168,0.16,0.145,0.114,0.112,0.094,0.069,0.124,0.008,0.007,0.581,0.386,Liberal
Robertson,146,NSW,LP,52100,54.24,43961,45.76,96061,3.1,148175,0.214,0.189,0.188,0.198,0.15,0.06,0.392,0.418,0.177,0.013,1304,355,1900,0.357,0.33,0.267,0.016,0.029,0.028,0.172,0.04,0.071,0.508,0.202,0.035,0.201,0.054,0.123,0.219,0.145,0.119,0.141,0.1,0.046,0.09,0.01,0.007,0.693,0.469,Liberal
Ryan,177,QLD,LNP,54023,56.03,42403,43.97,96426,-2.95,163182,0.219,0.296,0.201,0.154,0.098,0.033,0.368,0.486,0.123,0.023,1952,405,2167,0.312,0.341,0.321,0.008,0.018,0.009,0.286,0.135,0.163,0.641,0.158,0.026,0.129,0.047,0.142,0.369,0.082,0.106,0.135,0.084,0.021,0.049,0.009,0.004,0.894,0.594,Liberal
Scullin,232,VIC,ALP,26022,28.34,65787,71.66,91809,-2.08,170817,0.235,0.274,0.208,0.16,0.094,0.03,0.292,0.528,0.162,0.017,1388,330,1733,0.311,0.407,0.246,0.008,0.028,0.007,0.399,0.152,0.51,0.52,0.171,0.035,0.224,0.051,0.092,0.161,0.147,0.112,0.147,0.113,0.095,0.115,0.01,0.009,0.786,0.411,Labor
Shortland,148,NSW,ALP,45543,45.55,54437,54.45,99980,5.49,148551,0.223,0.194,0.184,0.194,0.151,0.054,0.398,0.41,0.179,0.012,1262,325,1733,0.393,0.346,0.229,0.007,0.025,0.039,0.099,0.019,0.042,0.494,0.208,0.034,0.221,0.043,0.099,0.197,0.16,0.119,0.142,0.105,0.065,0.099,0.008,0.006,0.609,0.453,Labor
Solomon,307,NT,ALP,25844,46.92,29240,53.08,55084,3.01,117481,0.236,0.297,0.224,0.162,0.069,0.011,0.377,0.459,0.147,0.017,2160,420,2167,0.155,0.321,0.485,0.005,0.033,0.085,0.285,0.155,0.234,0.602,0.117,0.042,0.131,0.109,0.125,0.21,0.157,0.126,0.146,0.076,0.054,0.086,0.013,0.007,0.639,0.493,Labor
Spence,325,SA,ALP,36455,35.87,65174,64.13,101629,3.04,177487,0.259,0.256,0.184,0.171,0.096,0.034,0.322,0.416,0.245,0.017,1052,250,1300,0.225,0.394,0.345,0.008,0.028,0.028,0.232,0.072,0.159,0.441,0.184,0.033,0.28,0.061,0.088,0.105,0.151,0.136,0.128,0.106,0.108,0.159,0.011,0.008,0.581,0.331,Labor
Stirling,246,WA,LP,48289,55.65,38490,44.35,86779,-0.47,154409,0.201,0.271,0.205,0.165,0.114,0.044,0.401,0.428,0.148,0.023,1475,350,1986,0.3,0.345,0.322,0.008,0.026,0.012,0.397,0.167,0.312,0.544,0.183,0.032,0.178,0.063,0.117,0.239,0.144,0.108,0.137,0.092,0.053,0.093,0.01,0.006,0.775,0.492,Liberal
Sturt,190,SA,LP,62404,56.87,47328,43.13,109732,1.48,179889,0.202,0.224,0.195,0.18,0.137,0.062,0.388,0.451,0.143,0.018,1366,300,1733,0.363,0.313,0.28,0.022,0.022,0.007,0.315,0.127,0.283,0.563,0.201,0.028,0.17,0.039,0.13,0.31,0.103,0.106,0.14,0.094,0.031,0.072,0.009,0.005,0.853,0.524,Liberal
Swan,247,WA,LP,44333,52.69,39804,47.31,84137,-0.9,170358,0.18,0.334,0.197,0.155,0.095,0.039,0.424,0.399,0.14,0.037,1527,360,2000,0.246,0.31,0.402,0.013,0.029,0.018,0.411,0.216,0.298,0.568,0.153,0.029,0.166,0.084,0.113,0.251,0.14,0.109,0.132,0.084,0.064,0.093,0.01,0.006,0.791,0.501,Liberal
Sydney,149,NSW,ALP,29705,31.33,65110,68.67,94815,-3.36,223820,0.081,0.509,0.209,0.122,0.063,0.017,0.625,0.233,0.101,0.042,1933,571,2500,0.137,0.201,0.622,0.007,0.033,0.012,0.482,0.286,0.368,0.655,0.097,0.023,0.101,0.124,0.168,0.374,0.081,0.104,0.111,0.076,0.015,0.052,0.011,0.007,0.806,0.579,Labor
Tangney,248,WA,LP,51275,61.47,32144,38.53,83419,0.4,140682,0.219,0.213,0.196,0.193,0.127,0.052,0.36,0.497,0.126,0.018,1797,400,2142,0.408,0.344,0.213,0.015,0.019,0.007,0.394,0.146,0.251,0.559,0.199,0.028,0.175,0.039,0.137,0.3,0.115,0.096,0.141,0.091,0.038,0.068,0.01,0.005,0.871,0.543,Liberal
Wannon,233,VIC,LP,62733,60.38,41156,39.62,103889,1.23,153570,0.219,0.184,0.178,0.214,0.153,0.053,0.442,0.397,0.147,0.013,1095,200,1233,0.406,0.321,0.231,0.009,0.032,0.016,0.078,0.022,0.031,0.462,0.215,0.045,0.198,0.081,0.179,0.145,0.136,0.112,0.098,0.092,0.073,0.147,0.008,0.009,0.594,0.388,Liberal
Warringah,151,NSW,LP,48011,52.12,44112,47.88,92123,-8.97,158060,0.219,0.221,0.237,0.174,0.109,0.041,0.389,0.486,0.112,0.013,2384,580,2970,0.318,0.307,0.346,0.007,0.022,0.004,0.328,0.131,0.163,0.617,0.167,0.03,0.125,0.061,0.21,0.347,0.08,0.083,0.125,0.082,0.018,0.036,0.012,0.005,0.856,0.617,Liberal
Watson,251,NSW,ALP,30732,36.48,53518,63.52,84250,4.06,185967,0.234,0.28,0.197,0.161,0.091,0.037,0.27,0.533,0.173,0.024,1281,380,2000,0.281,0.282,0.394,0.007,0.037,0.005,0.493,0.173,0.658,0.503,0.159,0.031,0.246,0.061,0.097,0.199,0.135,0.106,0.138,0.104,0.083,0.114,0.012,0.012,0.818,0.41,Labor
Wentworth,152,NSW,LP,53716,59.85,36038,40.15,89754,-7.9,158854,0.177,0.29,0.228,0.154,0.107,0.043,0.451,0.417,0.112,0.019,2380,610,3000,0.286,0.236,0.442,0.007,0.029,0.004,0.355,0.14,0.182,0.62,0.143,0.028,0.109,0.1,0.208,0.407,0.06,0.079,0.109,0.078,0.012,0.029,0.012,0.006,0.835,0.616,Liberal
Werriwa,153,NSW,ALP,41959,44.53,52270,55.47,94229,2.73,181173,0.273,0.249,0.208,0.169,0.079,0.022,0.219,0.576,0.19,0.014,1572,380,2080,0.248,0.429,0.284,0.007,0.031,0.017,0.415,0.094,0.541,0.512,0.147,0.031,0.25,0.06,0.094,0.161,0.143,0.096,0.161,0.094,0.115,0.112,0.014,0.011,0.757,0.373,Labor
Whitlam,150,NSW,ALP,40130,39.09,62541,60.91,102671,39.09,158340,0.234,0.2,0.184,0.188,0.144,0.049,0.378,0.429,0.181,0.012,1303,330,1800,0.375,0.344,0.245,0.008,0.028,0.034,0.174,0.024,0.103,0.486,0.203,0.035,0.224,0.052,0.103,0.158,0.17,0.126,0.132,0.107,0.082,0.108,0.009,0.007,0.622,0.428,Labor
Wide Bay,178,QLD,LNP,59279,63.15,34593,36.85,93872,4.96,147406,0.213,0.151,0.176,0.227,0.183,0.049,0.48,0.338,0.17,0.011,1009,260,1400,0.392,0.302,0.266,0.01,0.029,0.041,0.142,0.03,0.034,0.385,0.207,0.033,0.292,0.082,0.126,0.154,0.153,0.127,0.118,0.105,0.069,0.13,0.008,0.008,0.634,0.4,Liberal
Wills,234,VIC,ALP,23202,24.15,72888,75.85,96090,-4.18,168833,0.183,0.329,0.218,0.138,0.083,0.048,0.39,0.439,0.142,0.029,1494,355,1950,0.3,0.282,0.384,0.005,0.028,0.005,0.343,0.139,0.385,0.576,0.166,0.031,0.165,0.062,0.121,0.312,0.116,0.103,0.134,0.084,0.042,0.072,0.009,0.007,0.842,0.52,Labor
Wright,316,QLD,LNP,62571,64.58,34322,35.42,96893,4.96,165418,0.256,0.202,0.206,0.192,0.117,0.027,0.386,0.465,0.139,0.01,1482,315,1820,0.297,0.461,0.206,0.006,0.03,0.029,0.168,0.041,0.054,0.5,0.187,0.037,0.198,0.078,0.129,0.141,0.169,0.103,0.139,0.09,0.086,0.128,0.009,0.007,0.7,0.416,Liberal
